index,precision_at_1,precision_at_3,precision_at_5,recall_at_1,recall_at_3,recall_at_5,ndcg_at_5,mrr,map_at_5,success_at_5,candidate_recall_at_20,latency_p50_ms,latency_p95_ms,retrieval_latency_p50_ms,outlier_rejection_rate,hard_filter_satisfaction_rate,error_rate
flat,0.05,0.025,0.02,0.003333,0.005,0.006667,0.025588,0.0675,0.0135,0.1,0.015,108.932,157.565,104.345,1.0,1.0,0.0
ivf_flat,0.05,0.025,0.02,0.003333,0.005,0.006667,0.025588,0.0675,0.0135,0.1,0.015,114.378,173.535,109.271,1.0,1.0,0.0
pq,0.125,0.05,0.03,0.008333,0.01,0.01,0.047745,0.125,0.03,0.125,0.016667,136.163,187.786,129.789,1.0,1.0,0.0
ivf_pq,0.075,0.025,0.015,0.005,0.005,0.005,0.025437,0.075,0.015,0.075,0.008333,128.327,193.481,122.344,1.0,1.0,0.0
hnsw,0.05,0.025,0.02,0.003333,0.005,0.006667,0.025588,0.0675,0.0135,0.1,0.015,109.744,154.399,104.611,1.0,1.0,0.0
